file	text	duration	rms
no_000_avstemmingenmåfortsa.wav	avstemmingen må fortsatt ratifiseres av fullstendig ioc ved oktober-møtet i københavn	6.720	0.06934
no_001_vanligvisvildetværee.wav	vanligvis vil det være et skolegebyr som skal registreres i denne typen utdanningsprogrammer	6.360	0.11152
no_002_demonstranterharsomm.wav	demonstranter har som mål å samle inn 1,2 millioner underskrifter for en underskriftskampanje til nasjonalkongressen i november	7.740	0.07507
no_003_tillatelsermåbestill.wav	tillatelser må bestilles på forhånd for å kunne overnatte på sirena må du ha tillatelse	6.480	0.07137
no_004_ettersomtidengikkble.wav	ettersom tiden gikk ble mange ord lånt fra tysk sammenblandet dette var starten på en opplysning	6.960	0.11802
no_005_lastebilsjåførenpå64.wav	lastebilsjåføren på 64 år ble ikke skadet i styrten	5.040	0.06345
no_006_lastebilsjåførenpå64.wav	lastebilsjåføren på 64 år ble ikke skadet i styrten	5.100	0.06344
no_007_europeisktyrkiaøstli.wav	europeisk tyrkia østlige thrace eller rumelia på balkan inkluderer 3 prosent av landet	7.140	0.07399
no_008_fotosfærensombetyr«l.wav	fotosfæren som betyr «lyskule» er den ytre delen vi ser når vi ser på sola	7.260	0.03217
no_009_noeavregnetbleetterf.wav	noe av regnet ble etterfulgt av torden og gjentatte lyn	7.860	0.07272
no_010_derfantdeliketavsaro.wav	der fant de liket av saroja balasubramanian 53 dekket med blodige tepper	6.840	0.09563
no_011_b&bkonkurrereråpenba.wav	b&b konkurrerer åpenbart hovedsakelig rundt to hovedting seng og frokost	6.840	0.08139
no_012_innholdsteorierfokus.wav	innholdsteorier fokuserer på å finne det som motiverer eller appellerer til folk	5.460	0.05987
no_013_ikkeallevarlikestøtt.wav	ikke alle var like støttende til inkluderingen av kvinner	3.720	0.07484
no_014_mørkenergierenkrafts.wav	mørk energi er en kraft som ikke kan sees men som stadig påvirker universet	4.800	0.06259
no_015_kravtilvisumogpriser.wav	krav til visum og priser er forskjellig fra land til land og er avhengig av det landet du kommer fra	7.740	0.03091
no_016_algeneprodusererenne.wav	algene produserer en nervegift som kan skade nerver hos både mennesker og fisk	6.600	0.06134
no_017_nødetatenehjalpsjåfø.wav	nødetatene hjalp sjåføren ut av den røde audi tt mens gaten hvor ulykken hadde oppstått var midlertidig lukket	7.140	0.07712
no_018_kolonistenehaddeitil.wav	kolonistene hadde i tillegg bedt om forsterkning når de så denne aktiviteten	7.260	0.04701
